
category,sku,model
WM	8400010640	BOWM-BTL09IP1COD
WM	8400010639	BOWM-BTL07IP1COD
WM	8400010546	BOWM-BTL12DT1COD
WM	8400010642	BOWM-BTL10DT1COD
AC	8400010493	BOAC-BNVOH180/BNVOH181
AC	8400010495	BOAC-BNVOH 240/BNVOH 241
AC	8400010197	SRAC-SAS12CBR32LVSGRIH-CO
AC	8400010198	SRAC-SAS18CBR32LVSGRIH-CO
AC	8400010199	SRAC-SAS22CBR32LVSGRIH-CO
AC	7440000001	SRAC-SAS12CBRX32LVSGRIHCO
AC	7440000002	SRAC-SAS12CBRX32LVSGRIHCO
AC	7440000003	SRAC-SAS18CBRX32LVSGRIHCO
AC	7440000004	SRAC-SAS18CBRX32LVSGRIHCO
AC	7440000005	SRAC-SAS24CBRX32LVSGRIHCO
AC	7440000006	SRAC-SAS24CBRX32LVSGRIHCO
AC	7440000007	SRAC-SAS12CEXR32LVSGRIHCO
AC	7440000008	SRAC-SAS12CEXR32LVSGRIHCO
AC	7440000009	SRAC-SAS18CEXR32LVSGRIHCO
AC	7440000010	SRAC-SAS18CEXR32LVSGRIHCO
AC	7440000011	SRAC-SAS24CEXR32LVSGRIHCO
AC	7440000012	SRAC-SAS24CEXR32LVSGRIHCO
AC	7440000019	BOAC-BNVOD185/BNVOD186
AC	7440000020	BOAC-BNVOD185/BNVOD186
AC	7440000021	BOAC-BNVOH185/BNVOH186
AC	7440000022	BOAC-BNVOH185/BNVOH186
AC	7440000023	BOAC-BNVOH245/BNVOH246
AC	7440000024	BOAC-BNVOH245/BNVOH246
GB	8770073700	SRGB - 24SX2-SS-L
GB	8770093700	SRGB - 24SX2-GT-L
GB	8770083700	SRGB-24SX2-SS-N
GB	8770103700	SRGB-24SX2-GT-N
REF	7400000001	SRREF-SS100-FBDS260V
REF	7400000002	SRREF-SS500-FTDS230Z-BG
REF	7400000003	SRREF-SS100-FTDS230V
REF	7400000004	SRREF-SS300-FTDS230-BG
REF	7400000005	SRREF-SS500-FBDS260Z-BG
REF	7400000006	SRREF-SS300-FBDS260-BG
REF	7400000007	SRREF-SS300-FBDS260-RG
REF	7400000008	SRREF-SS500-FBDS260Z-RG
